bibnum,title,author,isbn,publicationyear,publisher,itemtype,itemcollection,floatingitem,itemlocation,reportdate,itemcount,subject_1,subject_2,subject_3,subject_4,subject_5,subject_6,subject_7,subject_8,subject_9,subject_10,subject_11,subject_12,subject_13,subject_14,subject_15,subject_16,subject_17,subject_18,subject_19,subject_20,subject_21,subject_22
2713013,Secrets of a proper countess,"Cornwall, Lecia","0062018930, 9780062018939",[2011],"Avon Books,",acbk,cafic,NA,cen,2018-07-01T00:00:00.000,1,Man woman relationships Fiction, Nobility England 19th century Fiction, Love stories, Historical fiction, Regency fiction,,,,,,,,,,,,,,,,,
3290346,Meetings with remarkable manuscripts : twelve journeys into the medieval world,"De Hamel, Christopher, 1950-","1594206112, 9781594206115",2017,"Penguin Press,",acbk,nanf,NA,qna,2018-09-01T00:00:00.000,1,St Augustine Gospels Pictorial works, Codex Amiatinus Pictorial works, Book of Kells Pictorial works, Rijksuniversiteit te Leiden Bibliotheek Manuscript Voss Lat Q 79 Pictorial works, Ashburnham Morgan Beatus Manuscript Pictorial works, Bodleian Library Manuscript Bodley 717 Pictorial works, Kongelige Bibliotek Denmark Manuscript Thott 143 2o Pictorial works, Carmina Burana Pictorial works, BibliothŠque nationale de France Manuscript Nouv acq lat 3145 Pictorial works, Hengwrt manuscript Pictorial works, Rossiiskaia natsionalnaia biblioteka Manuscript Lat Q v XVII 2 Pictorial works, J Paul Getty Museum Manuscript Ludwig IX 18 Pictorial works, Bible Manuscripts Latin, Manuscripts European, Manuscripts Medieval, Illumination of books and manuscripts Medieval, Books of hours Pictorial works,,,,,
311755,Spies and informers in the witness box.,"Pritt, D. N. (Denis Nowell), 1887-1972",,1958,"B. Hanison,",arbk,cs6r,NA,cen,2018-09-01T00:00:00.000,1,Witnesses, Spies, Informers,,,,,,,,,,,,,,,,,,,
3017812,Deep fantasy,White Lung (Musical group),,[2014],"Domino Recording Co.,",accd,nacd,Floating,glk,2018-04-01T00:00:00.000,1,Rock music 2011 2020,,,,,,,,,,,,,,,,,,,,,
2615786,In and out of control,Raveonettes (Musical group),,[2009],"Vice Music,",accd,nacd,Floating,bal,2018-10-01T00:00:00.000,1,Popular music 2001 2010, Rock music 2001 2010,,,,,,,,,,,,,,,,,,,,
3269990,Mean dreams,"Elevation Pictures ; a Woods Entertainment production ; in association with Euclid 431, Tip-Top Productions, Sugar Shack Productions, Project AMB, JoBro Productions & Film Finance, and Vigilante Productions, The Coronel Group, Scythia Films ; produced with the participation of Telefilm Canada, The Northern Ontario Heritage Fund, Ontario Media Development Corporation ; produced by William Woods, Allison Black ; written by Kevin Coughlin & Ryan Grassby ; directed by Nathan Morlando.",,[2017],"Vertical Entertainment,",acdvd,nadvd,Floating,rbe,2018-07-01T00:00:00.000,1,Child abuse Drama, Runaway teenagers Drama, Feature films, Thrillers Motion pictures, Fiction films, Video recordings for the hearing impaired,,,,,,,,,,,,,,,,
2794875,Not my blood,"Cleverly, Barbara","1616951540, 9781616951542",[2012],"Soho Crime,",acbk,namys,Floating,rbe,2018-02-01T00:00:00.000,1,Sandilands Joe Fictitious character Fiction, Boarding schools England Fiction, Mystery fiction, Historical fiction,,,,,,,,,,,,,,,,,,
2858619,Ghost dance in Berlin : a rhapsody in gray,"Wortsman, Peter","1609520785, 9781609520786",[2013],"Travelers' Tales/Solas House, Inc.,",acbk,nanf,NA,cap,2018-10-01T00:00:00.000,1,Berlin Germany Description and travel, Berlin Germany History, Berlin Germany Social life and customs,,,,,,,,,,,,,,,,,,,
1899361,Something shining : new poems,"Halpern, Daniel, 1945-",375407332,1999,"Alfred A. Knopf,",acbk,canf,NA,cen,2018-04-01T00:00:00.000,1,,,,,,,,,,,,,,,,,,,,,,
3198122,The trial,"Patterson, James, 1947-","0316317152, 9780316317153",2016,"BookShots/Little, Brown and Company,",acbk,namys,Floating,rbe,2018-02-01T00:00:00.000,1,Womens Murder Club Imaginary organization Fiction, Women detectives California San Francisco Fiction, Trials Murder Fiction, Detective and mystery fiction, Thrillers Fiction, Legal fiction Literature,,,,,,,,,,,,,,,,
2919183,Canadian wineries,"Aspler, Tony, 1939-","1770852441, 9781770852440",[2013],"Firefly Books,",acbk,nanf,NA,nga,2018-01-01T00:00:00.000,1,Wineries Canada, Wine and wine making Canada,,,,,,,,,,,,,,,,,,,,
389054,The housekeeper,"Prideaux, James",,[1984],"Dramatists Play Service,",acbk,canf,NA,cen,2018-03-01T00:00:00.000,1,,,,,,,,,,,,,,,,,,,,,,
638164,Regulatory guide 8.1 radiation symbol.,U.S. Nuclear Regulatory Commission. Office of Nuclear Regulatory Research,,[1973],"U.S. Nuclear Regulatory Commission, Office of Nuclear Regulatory Research,",armfc,cadocmf,NA,cen,2018-09-01T00:00:00.000,1,,,,,,,,,,,,,,,,,,,,,,
3224299,Walk away,"Hawken, Sam","031629926X, 9780316299268",2017,"Mulholland Books/Little, Brown and Company,",acbk,nafic,NA,dth,2018-05-01T00:00:00.000,1,Sisters Fiction, Veterans Fiction, Thrillers Fiction,,,,,,,,,,,,,,,,,,,
365675,Detailed land classification--Island of Hawaii.,University of Hawaii (Honolulu). Land Study Bureau,,1965,"[publisher not identified],",arbk,cs6r,NA,cen,2018-08-01T00:00:00.000,1,Land use, Land use Hawaii,,,,,,,,,,,,,,,,,,,,
1970009,"What life was like in the lands of the Prophet : Islamic world, AD 570-1405",by the editors of Time-Life Books.,783554656,[1999],"Time-Life Books,",acbk,canf,NA,cen,2018-06-01T00:00:00.000,1,Islamic civilization, Islamic Empire Social life and customs, Islamic Empire Social conditions,,,,,,,,,,,,,,,,,,,
2508673,Eva y la tarta,"D'Amico, Carmela","8467520191, 9788467520194",[2007],"Ediciones SM,",jcbk,ccln,NA,cen,2018-01-01T00:00:00.000,1,Elephants Juvenile fiction, Bakers and bakeries Fiction, Spanish language materials Fiction,,,,,,,,,,,,,,,,,,,
2559095,Big George : how a shy boy became President Washington,"Rockwell, Anne F.",9.78015E+12,2009,"Harcourt,",jcbk,ncnf,NA,swt,2018-04-01T00:00:00.000,1,Washington George 1732 1799 Juvenile literature, Presidents United States Biography Juvenile literature, Presidents Juvenile literature,,,,,,,,,,,,,,,,,,,
3194226,Berry's Halloween costume trouble : read-along storybook and CD,"Green, Rico","1484747070, 9781484747070",2016,"Disney Press,",jccd,nckit,NA,bea,2018-12-01T00:00:00.000,1,Animals Juvenile fiction, Halloween Juvenile fiction, Parties Juvenile fiction, Childrens audiobooks, Audiobooks,,,,,,,,,,,,,,,,,
2574482,The age of wonder : how the romantic generation discovered the beauty and terror of science,"Holmes, Richard, 1945-","0375422226, 9780375422225",[2009],"Pantheon Books,",acbk,canf,NA,cen,2018-12-01T00:00:00.000,5,Science Great Britain History 18th century, Discoveries in science Great Britain History 18th century,,,,,,,,,,,,,,,,,,,,
3337980,"The 12-week diabetes cookbook : your super simple plan for organizing, budgeting, and cooking amazing dinners","Gassenheimer, Linda","1580406769, 9781580406765",[2018],"American Diabetes Association,",acbk,nanf,NA,glk,2018-08-01T00:00:00.000,1,Diabetes Diet therapy Recipes, Low budget cooking, Cookbooks,,,,,,,,,,,,,,,,,,,
3265934,The case of the poached egg,"Newman, Robin","193954730X, 9781939547309",[2017],"Creston Books,",jcbk,ccef,NA,cen,2018-06-01T00:00:00.000,1,Mice Juvenile fiction, Farms Juvenile fiction, Eggs Juvenile fiction, Mystery and detective stories,,,,,,,,,,,,,,,,,,
3254889,"The choice for love : entering into a new, enlightened relationship with yourself, others & the world","De Angelis, Barbara","140195197X, 9781401951979",[2017],"Hay House, Inc.,",acbk,nanf,NA,bal,2018-04-01T00:00:00.000,1,Self actualization Psychology, Man woman relationships, Love,,,,,,,,,,,,,,,,,,,
3276927,The future of work and death,"Gadfly Productions ; in association with Serious Wonder ; directed, written and produced by Sean Blacknell & Wayne Walsh ; executive producer, Gray Scott.",,c2016.,"First Run Features,",acdvd,nadvdnf,Floating,glk,2018-02-01T00:00:00.000,1,Technology Social aspects, Technology and civilization, Forecasting, Nonfiction films, Documentary films, Video recordings for the hearing impaired,,,,,,,,,,,,,,,,
